profile_id	Barcelona_Sewage_1M	Berlin_Sewage_1M	Bogota_Sewage_1M	Hanoi_Sewage_1M	Hong_Kong_Sewage_1M	Ilorin_Sewage_1M	Kuala_Lumpur_Sewage_1M	Lisbon_Sewage_1M	Oslo_Sewage_1M	Porto_Sewage_1M	Rio_de_Janeiro_Sewage_1M	Santiago_Sewage_1M	Singapore_Sewage_1M	Sofia_Sewage_1M	Taipei_Sewage_1M	Vienna_Sewage_1M	Barcelona_Transit_5M	Berlin_Transit_5M	Bogota_Transit_5M	Hanoi_Transit_5M	Hong_Kong_Transit_5M	Ilorin_Transit_5M	Kuala_Lumpur_Transit_5M	Lisbon_Transit_5M	Oslo_Transit_5M	Porto_Transit_5M	Rio_de_Janeiro_Transit_5M	Santiago_Transit_5M	Singapore_Transit_5M	Sofia_Transit_5M	Taipei_Transit_5M	Vienna_Transit_5M
Sofia_Sewage_1M	0.5833333333333334	0.4615384615384615	0.8	0.6206896551724138	0.7333333333333334	0.6956521739130436	0.6071428571428571	0.6	0.5909090909090909	0.5769230769230769	0.7272727272727273	0.5909090909090909	0.6	0	0.5416666666666666	0.5666666666666667	0.8518518518518519	0.8437499999999999	0.787878787878788	0.7499999999999999	0.7428571428571429	0.6749999999999999	0.738095238095238	0.7812500000000001	0.7407407407407407	0.7777777777777778	0.7435897435897436	0.8	0.7307692307692308	0.7222222222222222	0.65625	0.6944444444444444
Taipei_Sewage_1M	0.5909090909090909	0.5769230769230769	0.7647058823529412	0.52	0.7037037037037037	0.65	0.5	0.6551724137931034	0.6	0.5833333333333334	0.6111111111111112	0.6666666666666666	0.5555555555555556	0.5416666666666666	0	0.7499999999999999	0.782608695652174	0.8275862068965517	0.7241379310344828	0.6944444444444444	0.7575757575757575	0.717948717948718	0.7804878048780487	0.7586206896551725	0.76	0.6956521739130436	0.7567567567567568	0.7142857142857143	0.7499999999999999	0.7714285714285715	0.787878787878788	0.7428571428571429
Vienna_Sewage_1M	0.5555555555555556	0.5	0.8400000000000001	0.7499999999999999	0.7714285714285715	0.7499999999999999	0.625	0.3793103448275862	0.6666666666666666	0.5	0.7777777777777778	0.7142857142857143	0.763157894736842	0.5666666666666667	0.7499999999999999	0	0.8387096774193548	0.8	0.7499999999999999	0.7499999999999999	0.7105263157894737	0.7111111111111111	0.7391304347826086	0.7777777777777778	0.7419354838709677	0.7741935483870968	0.65	0.8333333333333333	0.7333333333333334	0.725	0.6666666666666666	0.7317073170731707
Barcelona_Transit_5M	0.8260869565217391	0.8214285714285715	0.7857142857142858	0.7777777777777778	0.7083333333333333	0.85	0.72	0.7931034482758621	0.8	0.7499999999999999	0.7647058823529412	0.8	0.7499999999999999	0.8518518518518519	0.782608695652174	0.8387096774193548	0	0.5	0.5	0.65625	0.5769230769230769	0.6857142857142856	0.7222222222222222	0.72	0.5	0.47058823529411764	0.6	0.4666666666666667	0.7000000000000001	0.6071428571428571	0.6666666666666666	0.6666666666666666
Berlin_Transit_5M	0.8214285714285715	0.8529411764705882	0.7894736842105263	0.8181818181818181	0.7666666666666667	0.8846153846153846	0.8125000000000001	0.7941176470588235	0.8	0.8387096774193548	0.7727272727272727	0.8	0.7941176470588235	0.8437499999999999	0.8275862068965517	0.8	0.5	0	0.44000000000000006	0.6	0.6129032258064516	0.5945945945945945	0.6666666666666666	0.5925925925925926	0.6799999999999999	0.47619047619047616	0.5	0.4736842105263158	0.7692307692307693	0.59375	0.7272727272727273	0.6857142857142856
Bogota_Transit_5M	0.7142857142857143	0.7647058823529412	0.8181818181818181	0.7272727272727273	0.7096774193548387	0.8148148148148148	0.6774193548387097	0.7058823529411764	0.8214285714285715	0.7419354838709677	0.8	0.8214285714285715	0.7058823529411764	0.787878787878788	0.7241379310344828	0.7499999999999999	0.5	0.44000000000000006	0	0.5945945945945945	0.5625	0.5897435897435896	0.6585365853658536	0.5357142857142857	0.6153846153846153	0.4782608695652174	0.5	0.47619047619047616	0.7037037037037037	0.5454545454545454	0.676470588235294	0.6388888888888888
Hanoi_Transit_5M	0.7222222222222222	0.8181818181818181	0.8750000000000001	0.631578947368421	0.6842105263157895	0.7647058823529412	0.6216216216216216	0.7142857142857143	0.7352941176470588	0.7105263157894737	0.787878787878788	0.6969696969696969	0.65	0.7499999999999999	0.6944444444444444	0.7499999999999999	0.65625	0.6	0.5945945945945945	0	0.5641025641025641	0.48837209302325585	0.48837209302325585	0.6216216216216216	0.6857142857142856	0.676470588235294	0.5121951219512195	0.6875000000000001	0.7499999999999999	0.5853658536585366	0.7209302325581396	0.5952380952380952
Hong_Kong_Transit_5M	0.7096774193548387	0.7222222222222222	0.846153846153846	0.7567567567567568	0.8108108108108109	0.6153846153846153	0.59375	0.7027027027027027	0.7666666666666667	0.65625	0.8275862068965517	0.7666666666666667	0.7368421052631579	0.7428571428571429	0.7575757575757575	0.7105263157894737	0.5769230769230769	0.6129032258064516	0.5625	0.5641025641025641	0	0.4871794871794871	0.5609756097560975	0.7142857142857143	0.4	0.6071428571428571	0.625	0.6666666666666666	0.44000000000000006	0.20689655172413793	0.36666666666666664	0.34375000000000006
Ilorin_Transit_5M	0.775	0.7499999999999999	0.8529411764705882	0.6585365853658536	0.6749999999999999	0.7142857142857143	0.65	0.7045454545454546	0.8205128205128205	0.7317073170731707	0.868421052631579	0.7894736842105263	0.6744186046511628	0.6749999999999999	0.717948717948718	0.7111111111111111	0.6857142857142856	0.5945945945945945	0.5897435897435896	0.48837209302325585	0.4871794871794871	0	0.3	0.6829268292682926	0.6	0.6285714285714286	0.5116279069767442	0.7142857142857143	0.6666666666666666	0.475	0.5853658536585366	0.4878048780487805
Kuala_Lumpur_Transit_5M	0.775	0.7499999999999999	0.8529411764705882	0.7209302325581396	0.641025641025641	0.7142857142857143	0.65	0.7608695652173912	0.7894736842105263	0.7000000000000001	0.8378378378378378	0.7894736842105263	0.6428571428571429	0.738095238095238	0.7804878048780487	0.7391304347826086	0.7222222222222222	0.6666666666666666	0.6585365853658536	0.48837209302325585	0.5609756097560975	0.3	0	0.7142857142857143	0.6388888888888888	0.6666666666666666	0.6666666666666666	0.7142857142857143	0.7027027027027027	0.5121951219512195	0.5853658536585366	0.5238095238095238
Lisbon_Transit_5M	0.7037037037037037	0.7941176470588235	0.8095238095238095	0.5862068965517241	0.6551724137931034	0.8518518518518519	0.7499999999999999	0.7352941176470588	0.72	0.7333333333333334	0.7391304347826086	0.6666666666666666	0.7352941176470588	0.7812500000000001	0.7586206896551725	0.7777777777777778	0.72	0.5925925925925926	0.5357142857142857	0.6216216216216216	0.7142857142857143	0.6829268292682926	0.7142857142857143	0	0.8333333333333333	0.6399999999999999	0.48484848484848486	0.5909090909090909	0.8275862068965517	0.7297297297297298	0.8108108108108109	0.7692307692307693
Oslo_Transit_5M	0.7499999999999999	0.7586206896551725	0.8235294117647058	0.8387096774193548	0.8666666666666666	0.5555555555555556	0.6538461538461539	0.7741935483870968	0.7727272727272727	0.625	0.8571428571428571	0.7727272727272727	0.7741935483870968	0.7407407407407407	0.76	0.7419354838709677	0.5	0.6799999999999999	0.6153846153846153	0.6857142857142856	0.4	0.6	0.6388888888888888	0.8333333333333333	0	0.6190476190476191	0.7499999999999999	0.631578947368421	0.3888888888888889	0.4444444444444445	0.44000000000000006	0.46428571428571425
Porto_Transit_5M	0.7391304347826086	0.7499999999999999	0.7333333333333334	0.7499999999999999	0.6799999999999999	0.8095238095238095	0.7407407407407407	0.7241379310344828	0.7000000000000001	0.7692307692307693	0.7222222222222222	0.761904761904762	0.7241379310344828	0.7777777777777778	0.6956521739130436	0.7741935483870968	0.47058823529411764	0.47619047619047616	0.4782608695652174	0.676470588235294	0.6071428571428571	0.6285714285714286	0.6666666666666666	0.6399999999999999	0.6190476190476191	0	0.625	0.33333333333333337	0.7272727272727273	0.6333333333333334	0.6896551724137931	0.6875000000000001
Rio_de_Janeiro_Transit_5M	0.7499999999999999	0.7560975609756097	0.870967741935484	0.6923076923076924	0.6388888888888888	0.8611111111111112	0.717948717948718	0.6052631578947368	0.7647058823529412	0.7027027027027027	0.8181818181818181	0.8	0.738095238095238	0.7435897435897436	0.7567567567567568	0.65	0.6	0.5	0.5	0.5121951219512195	0.625	0.5116279069767442	0.6666666666666666	0.48484848484848486	0.7499999999999999	0.625	0	0.6333333333333334	0.8108108108108109	0.6097560975609756	0.7441860465116279	0.6818181818181819
Santiago_Transit_5M	0.761904761904762	0.8148148148148148	0.6666666666666666	0.7692307692307693	0.7499999999999999	0.8421052631578948	0.8076923076923077	0.8275862068965517	0.7222222222222222	0.7916666666666666	0.6666666666666666	0.7222222222222222	0.7857142857142858	0.8	0.7142857142857143	0.8333333333333333	0.4666666666666667	0.4736842105263158	0.47619047619047616	0.6875000000000001	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.5909090909090909	0.631578947368421	0.33333333333333337	0.6333333333333334	0	0.7499999999999999	0.6896551724137931	0.7037037037037037	0.7000000000000001
Singapore_Transit_5M	0.7391304347826086	0.7499999999999999	0.8125000000000001	0.7931034482758621	0.8620689655172413	0.43750000000000006	0.6399999999999999	0.7666666666666667	0.761904761904762	0.6086956521739131	0.85	0.761904761904762	0.8064516129032258	0.7307692307692308	0.7499999999999999	0.7333333333333334	0.7000000000000001	0.7692307692307693	0.7037037037037037	0.7499999999999999	0.44000000000000006	0.6666666666666666	0.7027027027027027	0.8275862068965517	0.3888888888888889	0.7272727272727273	0.8108108108108109	0.7499999999999999	0	0.5357142857142857	0.5925925925925926	0.6
Sofia_Transit_5M	0.7272727272727273	0.7368421052631579	0.8571428571428571	0.8	0.7894736842105263	0.6428571428571429	0.6176470588235294	0.717948717948718	0.7812500000000001	0.676470588235294	0.8387096774193548	0.7812500000000001	0.7499999999999999	0.7222222222222222	0.7714285714285715	0.725	0.6071428571428571	0.59375	0.5454545454545454	0.5853658536585366	0.20689655172413793	0.475	0.5121951219512195	0.7297297297297298	0.4444444444444445	0.6333333333333334	0.6097560975609756	0.6896551724137931	0.5357142857142857	0	0.3	0.28125
Taipei_Transit_5M	0.7419354838709677	0.6363636363636364	0.8846153846153846	0.846153846153846	0.868421052631579	0.6538461538461539	0.6666666666666666	0.763157894736842	0.8	0.6875000000000001	0.8620689655172413	0.8	0.7948717948717948	0.65625	0.787878787878788	0.6666666666666666	0.6666666666666666	0.7272727272727273	0.676470588235294	0.7209302325581396	0.36666666666666664	0.5853658536585366	0.5853658536585366	0.8108108108108109	0.44000000000000006	0.6896551724137931	0.7441860465116279	0.7037037037037037	0.5925925925925926	0.3	0	0.32258064516129037
Vienna_Transit_5M	0.7352941176470588	0.7105263157894737	0.8214285714285715	0.775	0.8536585365853657	0.6551724137931034	0.6666666666666666	0.7560975609756097	0.787878787878788	0.6857142857142856	0.8437499999999999	0.7499999999999999	0.725	0.6944444444444444	0.7428571428571429	0.7317073170731707	0.6666666666666666	0.6857142857142856	0.6388888888888888	0.5952380952380952	0.34375000000000006	0.4878048780487805	0.5238095238095238	0.7692307692307693	0.46428571428571425	0.6875000000000001	0.6818181818181819	0.7000000000000001	0.6	0.28125	0.32258064516129037	0
